relationshipType,fromDomainId,toDomainId
HYPERLINK_TO,0,548
HYPERLINK_TO,0,16898
HYPERLINK_TO,0,31422
HYPERLINK_TO,0,3777
HYPERLINK_TO,1,4277
HYPERLINK_TO,1,27898
HYPERLINK_TO,1,28521
HYPERLINK_TO,2,46927
HYPERLINK_TO,2,33147
HYPERLINK_TO,2,2755
HYPERLINK_TO,3,27800
HYPERLINK_TO,3,48149
HYPERLINK_TO,3,3320
HYPERLINK_TO,3,1061
HYPERLINK_TO,4,19377
HYPERLINK_TO,4,13704
HYPERLINK_TO,4,8771
HYPERLINK_TO,6,447
HYPERLINK_TO,6,39883
HYPERLINK_TO,6,26419
HYPERLINK_TO,6,27141
HYPERLINK_TO,7,40228
HYPERLINK_TO,7,29339
HYPERLINK_TO,8,46917
HYPERLINK_TO,8,36146
HYPERLINK_TO,8,6892
HYPERLINK_TO,8,37203
HYPERLINK_TO,8,9166
HYPERLINK_TO,9,16903
HYPERLINK_TO,9,6730
HYPERLINK_TO,10,42997
HYPERLINK_TO,11,46986
HYPERLINK_TO,11,15944
HYPERLINK_TO,11,6840
HYPERLINK_TO,11,30800
HYPERLINK_TO,11,20924
HYPERLINK_TO,12,8775
HYPERLINK_TO,12,23772
HYPERLINK_TO,12,26046
HYPERLINK_TO,14,22194
HYPERLINK_TO,14,18353
HYPERLINK_TO,14,2020
HYPERLINK_TO,14,13165
HYPERLINK_TO,14,20623
HYPERLINK_TO,14,31703
HYPERLINK_TO,14,29210
HYPERLINK_TO,15,21157
HYPERLINK_TO,15,3877
HYPERLINK_TO,15,11757
HYPERLINK_TO,17,6510
HYPERLINK_TO,19,46938
HYPERLINK_TO,19,27115
HYPERLINK_TO,19,13888
HYPERLINK_TO,20,659
HYPERLINK_TO,20,40985
HYPERLINK_TO,20,49182
HYPERLINK_TO,20,24174
HYPERLINK_TO,21,5128
HYPERLINK_TO,21,1881
HYPERLINK_TO,21,14078
HYPERLINK_TO,21,27916
HYPERLINK_TO,21,20215
HYPERLINK_TO,21,26631
HYPERLINK_TO,23,37909
HYPERLINK_TO,25,41589
HYPERLINK_TO,25,41170
HYPERLINK_TO,26,3266
HYPERLINK_TO,27,49687
HYPERLINK_TO,27,45834
HYPERLINK_TO,27,24691
HYPERLINK_TO,27,27600
HYPERLINK_TO,27,438
HYPERLINK_TO,28,17549
HYPERLINK_TO,28,20745
HYPERLINK_TO,28,38723
HYPERLINK_TO,28,35400
HYPERLINK_TO,28,35155
HYPERLINK_TO,28,25209
HYPERLINK_TO,28,30150
HYPERLINK_TO,30,9148
HYPERLINK_TO,30,23271
HYPERLINK_TO,30,37285
HYPERLINK_TO,30,24919
HYPERLINK_TO,31,44001
HYPERLINK_TO,31,25700
HYPERLINK_TO,31,7792
HYPERLINK_TO,31,18938
